Domain name,Domain type,Organization name,Suborganization name,City,State,Security contact email
altamontks.gov,City,City of Altamont,organization_name,Altamont,KS,(blank)
altamontutah.gov,City,Town of Altamont,organization_name,Altamont,UT,(blank)
altavistava.gov,City,Town of Altavista,organization_name,Altavista,VA,tcshelton@altavistava.gov
altontownshipil.gov,City,Alton Township Supervisor's Office,organization_name,Alton,IL,(blank)
alton-tx.gov,City,City of Alton,organization_name,Alton,TX,(blank)
altoonapa.gov,City,City of Altoona,organization_name,Altoona,PA,(blank)
altoona-wi.gov,City,City Of Altoona Emergency Services ,organization_name,Altoona,WI,apdcommandstaff@altoona-wi.gov
altoonawi.gov,City,"City of Altoona, Wisconsin",organization_name,Altoona,WI,(blank)
altusok.gov,City,City of Altus,organization_name,Altus,OK,(blank)
alvaok.gov,City,City of Alva,organization_name,Alva,OK,(blank)
alvin.gov,City,City of Alvin,organization_name,Alvin,TX,it@alvin.gov
alvin-tx.gov,City,"City of Alvin, Texas",organization_name,Alvin,TX,InformationTechnology@cityofalvin.com
alvo.gov,City,Village of Alvo,organization_name,Eagle,NE,villageofalvo@outlook.com
alvordtx.gov,City,City of Alvord,organization_name,Alvord,TX,cody@saltlogix.com
amadorcity.gov,City,City of Amador,organization_name,Amador City,CA,(blank)
amalgautah.gov,City,Amalga Town,organization_name,AMALGA,UT,help@askalltech.com
amarillo.gov,City,City of Amarillo ,organization_name,Amarillo,TX,jose.villarreal@amarillo.gov
ambertwpmi.gov,City,Amber Township,organization_name,Scottville,MI,(blank)
ameniany.gov,City,Town of Amenia,organization_name,Amenia,NY,(blank)
americancanyon.gov,City,City of American Canyon,organization_name,American Canyon,CA,rlecomte@dni.net
americanfork.gov,City,American Fork City,organization_name,American Fork,UT,george@americanfork.gov
americusga.gov,City,City of Americus,organization_name,Americus,GA,(blank)
amerywi.gov,City,City of Amery,organization_name,Amery,WI,dan@4thepoint.com
amesburyma.gov,City,Town of Amesbury,organization_name,Amesbury,MA,it@amesburyma.gov
amherstma.gov,City,Town of Amherst,organization_name,Amherst,MA,hannons@amherstma.gov
amherstnh.gov,City,Town of Amherst,organization_name,Amherst,NH,jstover@amherstnh.gov
amherstva.gov,City,Town of Amherst,organization_name,Amherst,VA,townhall@amherstva.gov
amityoregon.gov,City,City of Amity,organization_name,Amity,OR,(blank)
amityvillepdny.gov,City,Amityville Village Police Department,organization_name,Amityville,NY,amityvillepd@amityvillepd.com
amortownshipmn.gov,City,Anor Township,organization_name,Battle Lake,MN,(blank)
amsterdamnyfd.gov,City,City of Amsterdam,organization_name,Amsterdam,NY,(blank)
amsterdamny.gov,City,City of Amsterdam,organization_name,Amsterdam,NY,(blank)
amsterdamnypd.gov,City,City of Amsterdam,organization_name,Amsterdam,NY,(blank)
anacorteswa.gov,City,City of Anacortes,organization_name,Anacortes,WA,(blank)
anaheim.gov,City,City of Anaheim,organization_name,Anaheim,CA,coainfosec@anaheim.net
anchorageak.gov,City,Municipality of Anchorage,organization_name,Anchorage,AK,jon.rendulic@anchorageak.gov
ancramny.gov,City,Town Of Ancram,organization_name,Ancram,NY,(blank)
andalusiaal.gov,City,City of Andalusia,organization_name,Andalusia,AL,it@cityofandlausia.com
andersontx.gov,City,Town of Anderson,organization_name,aNDERSON,TX,townoffice@andersontx.gov
andesnewyork.gov,City,Town of Andes New York,organization_name,Andes,NY,(blank)
andoverks.gov,City,City of Andover,organization_name,Andover,KS,(blank)
andoverma.gov,City,Town of Andover,organization_name,Andover,MA,platform.team@andoverma.us
andovermn.gov,City,City of Andover,organization_name,Andover,MN,webmaster@andovermn.gov
andover-nh.gov,City,TOWN OF ANDOVER,organization_name,Andover,NH,(blank)
andrewsnc.gov,City,Town of Andrews,organization_name,Andrews,NC,abuse@andrewsnc.gov
angelfirenm.gov,City,Village of Angel Fire,organization_name,Angel Fire,NM,(blank)
angelscamp.gov,City,City of Angels ,organization_name,City of Angels Camp,CA,swong@coneth.com
ankenyiowa.gov,City,City of Ankeny,organization_name,Ankeny,IA,(blank)
annapolis.gov,City,City of Annapolis,organization_name,Annapolis,MD,(blank)
annapolismd.gov,City,City of Annapolis,organization_name,Annapolis,MD,(blank)
annapolismo.gov,City,City of Annapolis,organization_name,Annapolis,MO,(blank)
annatexas.gov,City,City of Anna,organization_name,Anna,TX,(blank)
annettatx.gov,City,Town of Annetta,organization_name,Aledo,TX,citysecretary@annettatx.gov
annistonal.gov,City,"City of Anniston, Alabama",organization_name,Anniston,AL,mbushard@annistonal.gov
anokawineandspirits.gov,City,City of Anoka,organization_name,Anoka,MN,admin@vpointusa.com
ansoniahousing.gov,City,Housing Authority of the City of Ansonia,organization_name,Ansonia,CT,(blank)
ansonmaine.gov,City,Town of Anson Maine,organization_name,Anson,ME,toasupport@btsmaine.com
antiochcaboard.gov,City,City of Antioch,organization_name,Antioch,CA,abarton@ci.antioch.ca.us
antiochcacommission.gov,City,City of Antioch,organization_name,Antioch,CA,abarton@ci.antioch.ca.us
antiochcacommittee.gov,City,City of Antioch,organization_name,Antioch,CA,abarton@ci.antioch.ca.us
antiochca.gov,City,City of Antioch,organization_name,Antioch,CA,(blank)
antiochtownshipil.gov,City,Antioch Township,organization_name,Antioch,IL,(blank)
antrimnh.gov,City,Town of Antrim,organization_name,Antrim,NH,support@miradorit.com
antrimnhpd.gov,City,Antrim Police Department,organization_name,Antrim,NH,(blank)
apachejunctionaz.gov,City,City of Apache Junction,organization_name,Apache Junction,AZ,dwirthgen@apachejunctionaz.gov
apexnc.gov,City,"APEX, TOWN OF",organization_name,Apex,NC,erika.sacco@apexnc.org
apopka.gov,City,City of Apopka,organization_name,Apopka,FL,it_all@apopka.net
appletonmn.gov,City,City of Appleton,organization_name,Appleton,MN,noc@coordinated.com
appletonwi.gov,City,City of Appleton,organization_name,Appleton,WI,justin.marsh@appleton.org
applevalleyca.gov,City,Town of Apple Valley,organization_name,Apple Valley,CA,webmaster@applevalley.org
applevalleymn.gov,City,City of Apple Valley,organization_name,Apple Valley,MN,ITdept@ci.apple-valley.mn.us
applevalleyut.gov,City,Town of Apple Valley,organization_name,Apple Valley,UT,clerk@applevalleyut.gov
appomattoxva.gov,City,Town of Appomattox,organization_name,Appomattox,VA,(blank)
aptx.gov,City,City of Aransas Pass,organization_name,Aransas Pass,TX,doffalter@aransaspasstx.gov
aquinnah-ma.gov,City,Town of Aquinnah,organization_name,Aquinnah,MA,adminassistant@aquinnah-ma.gov
aragotownshipmn.gov,City,Arago Township,organization_name,Park Rapids,MN,(blank)
aransaspasstx.gov,City,City of Aransas Pass,organization_name,Aransas Pass,TX,jmartin@aptx.gov
arcadami.gov,City,Arcada Township,organization_name,Ithaca,MI,kps@shumakergroup.com
arcadiaca.gov,City,City of Arcadia,organization_name,Arcadia,CA,wluo@arcadiaca.gov
arcadia-fl.gov,City,City of Arcadia,organization_name,Arcadia,FL,service@vc3.com
archbaldboroughpa.gov,City,Archbald Borough,organization_name,Archbald,PA,support@ironnebula.com
archdale-nc.gov,City,City of Archdale,organization_name,Archdale,NC,_it@archdale-nc.gov
archerlodgenc.gov,City,Town of Archer Lodge,organization_name,Archer Lodge,NC,(blank)
arcoidaho.gov,City,City of Arco,organization_name,Arco,ID,rtorrence@atccomm.com
arcolapdtx.gov,City,Arcola Police Department,organization_name,Rosharon,TX,ArcolaPD@arcolapdtx.gov
arcolatexas.gov,City,City of Arcola,organization_name,Arcola,TX,contractor1@arcolatexas.org
ardmoreok.gov,City,City of Ardmore,organization_name,Ardmore,OK,abuse@ardmorecity.org
ardsleyvillage.gov,City,Village of Ardsley,organization_name,ARDSLEY,NY,(blank)
argentinetownship.gov,City,Argentine Township,organization_name,Linden,MI,tech@tdaniels.com
argonnewi.gov,City,Town Of Argonne,organization_name,argonne,WI,info@naunkca.com
argosin.gov,City,Town of Argos,organization_name,Argos,IN,(blank)
argylewi.gov,City,Village of Argyle WI,organization_name,Argyle,WI,(blank)
arkadelphia.gov,City,City of Arkadelphia,organization_name,Arkadelphia,AR,(blank)
arkansascityks.gov,City,City of Arkansas City,organization_name,Arkansas City,KS,security@arkansascityks.gov
arkomaok.gov,City,Town of Arkoma,organization_name,Arkoma,OK,team@civicdynamics.us
arkwrightny.gov,City,Town of Arkwright,organization_name,Fredonia,NY,(blank)
arlingtonma.gov,City,Town of Arlington,organization_name,Arlington,MA,security@town.arlington.ma.us
arlingtonmn.gov,City,City of Arlington,organization_name,Arlington,MN,police@arlingtonmn.gov
arlingtonne.gov,City,Village of Arlington,organization_name,Arlington,NE,clerk@arlingtonne.gov
arlington-tx.gov,City,"City of Arlington, Texas",organization_name,Arlington,TX,itregistrar@arlingtontx.gov
arlingtontx.gov,City,"City of Arlington, Texas",organization_name,Arlington,TX,itregistrar@arlingtontx.gov
arlingtonwa.gov,City,City of Arlington Washington,organization_name,Arlington,WA,bterry@arlingtonwa.gov
armadatwp.gov,City,Armada Township,organization_name,Armada,MI,(blank)
arna.gov,City,Arna Township,organization_name,Markville,MN,(blank)
arpinvillagewi.gov,City,Village of Arpin,organization_name,Arpin,WI,(blank)
arrowsmithil.gov,City,Village of Arrowsmith,organization_name,Arrowsmith,IL,arrowsmith.village@gmail.com
arroyopr.gov,City,Municipal Government of Arroyo,organization_name,Arroyo,PR,(blank)
artesianm.gov,City,City of Artesia,organization_name,Artesia,NM,gromine@artesianm.gov
arthur-il.gov,City,"Village of Arthur, IL",organization_name,Arthur,IL,(blank)
arvadaco.gov,City,City of Arvada,organization_name,Arvada,CO,itsecurity@arvada.org
asburyparkfd.gov,City,Asbury Park Fire Department,organization_name,Asbury Park,NJ,(blank)
asburypark.gov,City,CITY OF ASBURY PARK,organization_name,ASBURY PARK,NJ,Joe.Dellaragione@asburypark.gov
asburyparkpd.gov,City,Asbury Park Police Department,organization_name,Asbury Park,NJ,(blank)
ashburnham-ma.gov,City,Town of Ashburnham,organization_name,Ashburnham,MA,(blank)
ashbyma.gov,City,Town of Ashby,organization_name,Ashby,MA,tabos@ashbyma.gov
asheboronc.gov,City,City of Asheboro,organization_name,Asheboro,NC,netadmin@ci.asheboro.nc.us
ashevillenc.gov,City,City of Asheville,organization_name,Asheville,NC,pscruggs@ashevillenc.gov
ashfordct.gov,City,Town of Ashford,organization_name,Ashford,CT,(blank)
ashfordny.gov,City,Town of Ashford,organization_name,West Valley,NY,(blank)
ashgrovemo.gov,City,City of Ash Grove,organization_name,Ash Grove,MO,support@strongholddata.com
ashlandcitytn.gov,City,Town of Ashland City,organization_name,Ashland City,TN,jwheeler@ashlandcitytn.gov
ashlandky.gov,City,"The City of Ashland, KY",organization_name,Ashland,KY,support@ashlandky.gov
ashlandnychemung.gov,City,Town of Ashland in Chemung County,organization_name,Wellsburg,NY,(blank)
ashlandoregon.gov,City,"City of Ashland, Oregon",organization_name,Ashland,OR,(blank)
ashlandva.gov,City,"Town of Ashland, VA",organization_name,Ashland,VA,dougg@ashlandva.gov
ashmore.gov,City,Village of Ashmore,organization_name,Ashmore,IL,clerk@ashmore.gov
ashtoncityid.gov,City,City of Ashton Idaho,organization_name,Ashton,ID,david@funwinkstudios.com
ashtonid.gov,City,City of Ashton ID,organization_name,Ashton,ID,david@funwinkstudios.com
ashvilleohio.gov,City,Village of Ashville,organization_name,Ashville,OH,agrube@ashvilleohio.gov
ashwaubenon.gov,City,Village of Ashwaubenon,organization_name,Ashwaubenon,WI,security@ashwaubenon.gov
aspen.gov,City,City of Aspen,organization_name,Aspen,CO,dnsadmins@aspen.gov
aspinwallpa.gov,City,Borough of Aspinwall,organization_name,Aspinwall,PA,aspinwallpa.com@gmail.com
assyriatwpmi.gov,City,Assyria Township,organization_name,Bellevue,MI,InfoAssyriaTwp@gmail.com
astoria.gov,City,CITY OF ASTORIA,organization_name,Astorai,OR,(blank)
atchisonkspolice.gov,City,Atchison Police Department,organization_name,Atchison,KS,mike.wilson@atchisonkspolice.gov
athelstanewiclerk.gov,City,Town of Athelstane,organization_name,Athelstane,WI,athelstane@centurytel.net
athensil.gov,City,City of Athens,organization_name,Athens,IL,security@athensil.com
athenstn.gov,City,City of Athens,organization_name,Athens,TN,technologymanager@cityofathenstn.com
athenstownshipmn.gov,City,Athens Township,organization_name,Isanti,MN,(blank)
athenstx.gov,City,City of Athens,organization_name,Athens,TX,webregistrar@athenstx.gov
athensvillageny.gov,City,"Village of Athens, NY",organization_name,Athens,NY,alerts@greenecomputer.org
athensvt.gov,City,Town of Athens,organization_name,Athens,VT,its@athensvt.gov
athertonca.gov,City,Town of Atherton,organization_name,Atherton,CA,(blank)
athol-ma.gov,City,Town of Athol,organization_name,Athol,MA,acraven@townofathol.org
atkinsar.gov,City,Atkins City Hall,organization_name,Atkins,AR,(blank)
atkinson-nh.gov,City,Town of Atkinson,organization_name,Atkinson,NH,assttownadmin@atkinson-nh.gov
atlantaga.gov,City,City of Atlanta,organization_name,Atlanta,GA,tmunyengango@atlantaga.gov
atlanticbeachny.gov,City,Inc Village of Atlantic Beach,organization_name,Atlantic Beach,NY,(blank)
atlantisfl.gov,City,City of Atlantis,organization_name,Atlantis,FL,mlegall@atlantisfl.gov
atmore.gov,City,City of Atmore,organization_name,Atmore,AL,support@hasserllc.com
atokatn.gov,City,Town of Atoka,organization_name,Atoka,TN,it@townofatoka.com
attica-in.gov,City,City of Attica,organization_name,Attica,IN,CLERK@ATTICA-IN.GOV
atwatermn.gov,City,City of Atwater,organization_name,Atwater,MN,Goldie.Smith@AtwaterMN.gov
aubreytx.gov,City,City of Aubrey,organization_name,Aubrey,TX,(blank)
auburnal.gov,City,"City of Auburn, AL",organization_name,,AL,webit@auburnalabama.org
auburnma.gov,City,Town of Auburn,organization_name,Auburn,MA,webmaster@town.auburn.ma.us
auburnmaine.gov,City,"City of Auburn, Maine",organization_name,Auburn,ME,jcunningham@auburnmaine.gov
auburnmi.gov,City,City of Auburn,organization_name,Auburn,MI,kps@shumakergroup.com
auburnnh.gov,City,Town of Auburn NH,organization_name,Auburn,NH,(blank)
auburnny.gov,City,City of Auburn,organization_name,Auburn,NY,(blank)
auburnwa.gov,City,City of Auburn,organization_name,Auburn,WA,servicedesk@auburnwa.gov
audubonparkky.gov,City,City of Audubon Park,organization_name,Louisville,KY,security@audubonparkky.gov
augustaga.gov,City,City of Augusta,organization_name,Augusta,GA,ITSecurityTeam@augustaga.gov
augustaky.gov,City,City of Augusta,organization_name,Augusta,KY,dpadgett@augustaky.com
augustamaine.gov,City,City of Augusta,organization_name,Augusta,ME,mike.schriver@augustamaine.gov
aureliustown.gov,City,Town of Aurelius,organization_name,Auburn,NY,(blank)
auroramo.gov,City,City of Aurora,organization_name,Aurora,MO,(blank)
aurorane.gov,City,City of Aurora,organization_name,Aurora,NE,(blank)
auroraoh.gov,City,City of Aurora Ohio,organization_name,Aurora,OH,barnhousel@auroraoh.com
auroratexas.gov,City,City of Aurora Texas,organization_name,Rhome,TX,mayor@auroratexas.gov
ausabletwp-mi.gov,City,AuSable Township,organization_name,AuSable,MI,(blank)
austellga.gov,City,City of Austell,organization_name,Austell,GA,cityhall@austellga.gov
austerlitzny.gov,City,"Town of Austerlitz, NY",organization_name,Spencertown,NY,(blank)
austin.gov,City,City of Austin,organization_name,Austin,TX,csirt@austintexas.gov
austintexas.gov,City,City of Austin,organization_name,Austin,TX,csirt@austintexas.gov
austintx.gov,City,City of Austin,organization_name,Austin,TX,csirt@austintexas.gov
avenalpd.gov,City,City of Avenal Police Department,organization_name,Avenal,CA,(blank)
aventurafl.gov,City,City of Aventura,organization_name,Aventura,FL,itinfo@cityofaventura.com
avocaarkansas.gov,City,Town of Avoca,organization_name,Avoca,AR,(blank)
avonct.gov,City,Town of Avon,organization_name,Avon,CT,(blank)
avondaleaz.gov,City,City of Avondale,organization_name,Avondale,AZ,(blank)
avondaleestatesga.gov,City,Avondale Estates,organization_name,Avondale Estates,GA,security@avondaleestates.org
avonindiana.gov,City,Town of Avon Indiana,organization_name,Avon,IN,aginogino@avonindiana.gov
avon-ma.gov,City,Town of Avon,organization_name,Avon,MA,(blank)
avon-ny.gov,City,Town of Avon,organization_name,Avon,NY,(blank)
avontownshipmn.gov,City,Avon Township,organization_name,Avon,MN,(blank)
ayerfire.gov,City,Ayer Fire Department,organization_name,Ayer,MA,(blank)
ayerpolice.gov,City,Ayer Police Department,organization_name,Ayer,MA,(blank)
az-fhsd.gov,City,Fountain Hills Sanitary District,organization_name,Fountain Hills,AZ,fhsd@az-fhsd.gov
aztecnm.gov,City,City of Aztec,organization_name,Aztec,NM,admin@aztecnm.gov
azusaca.gov,City,City of Azusa,organization_name,Azusa,CA,(blank)
backusmi.gov,City,"Backus Township, Roscommon County, MI",organization_name,SAINT HELEN,MI,(blank)
badenpa.gov,City,Borough of Baden,organization_name,Baden,PA,(blank)
bagleytownshipmi.gov,City,Bagley Township,organization_name,Gaylord,MI,kps@shumakergroup.com
baileysharborwi.gov,City,Town of Baileys Harbor,organization_name,BAILEYS HARBOR,WI,admin@baileysharborwi.org
bainbridgewa.gov,City,City of Bainbridge Island,organization_name,Bainbridge Island,WA,mdalton@bainbridgewa.gov
bakercity.gov,City,City of Baker City,organization_name,Baker City,OR,(blank)
bakercitypd.gov,City,Baker City,organization_name,Baker City,OR,marlin@ms-tech-consulting.com
bakersfield.gov,City,City of Bakersfield,organization_name,Bakersfield,CA,(blank)
balchspringstx.gov,City,City of Balch Springs,organization_name,Balch Springs,TX,bservice@baxterit.com
baldknobar.gov,City,City of Bald Knob,organization_name,Bald Knob,AR,(blank)
baldwincity.gov,City,"City of Baldwin City, KS",organization_name,Baldwin City,KS,HELPDESK@BALDWINCITY.ORG
baldwinparkca.gov,City,City of Baldwin Park,organization_name,Baldwin Park,CA,itsupport@baldwinpark.com
baldwinsville.gov,City,Village of Baldwinsville,organization_name,Baldwinsville,NY,(blank)
baldwintwpiosco.gov,City,Baldwin Township,organization_name,TAWAS CITY,MI,(blank)
balharbourfl.gov,City,Bal Harbour Village,organization_name,Bal Harbour,FL,lansight@balharbourfl.gov
balkantownshipmn.gov,City,Balkan Township,organization_name,Chisholm,MN,(blank)
ballardcityut.gov,City,Ballard City,organization_name,Ballard,UT,(blank)
ballstonspa.gov,City,Village of Ballston Spa,organization_name,Ballston Spa,NY,(blank)
baltimorecitybnmd.gov,City,Baltimore City Office of Information & Technology (BCIT),organization_name,Baltimore,MD,BobTaylor@baltimorecity.gov
baltimorecitycouncil.gov,City,Baltimore City Council,organization_name,Baltimore,MD,BobTaylor@baltimorecity.gov
baltimorecity.gov,City,Baltimore City Office of Information and Technology,organization_name,Baltimore,MD,bob.taylor@baltimorecity.gov
baltimorecitysheriff.gov,City,Baltimore City Sheriff's Office,organization_name,Baltimore,MD,(blank)
banderatx.gov,City,City of Bandera Texas,organization_name,Bandera,TX,nancy.defoster@BanderaTX.gov
bangormaine.gov,City,City of Bangor,organization_name,Bangor,ME,(blank)
bankstownshipmi.gov,City,Banks Township,organization_name,Ellsworth,MI,(blank)
banningca.gov,City,City of Banning,organization_name,Banning,CA,support@banningca.gov
baraboowi.gov,City,City of Baraboo,organization_name,Baraboo,WI,saukmis@cityofbaraboo.com
bardstownky.gov,City,City Of Bardstown,organization_name,Bardstown,KY,noc@bardstowncable.net
barharbormaine.gov,City,Town of Bar Harbor,organization_name,Bar Harbor,ME,(blank)
baringplantation.gov,City,Baring Plantation  Maine,organization_name,Baring PLT,ME,(blank)
barlingar.gov,City,City of Barling,organization_name,Barling,AR,mgriffin@barlingar.com
barnesvillega.gov,City,"Barnesville, GA",organization_name,Barnesville,GA,(blank)
barnesvilleohio.gov,City,Village of Barnesville,organization_name,Barnesville,OH,webmaster@barnesvilleohio.com
