Domain name,Domain type,Organization name,Suborganization name,City,State,Security contact email
algonaiowa.gov,City,Non-Federal Agency,,Algona,IA,securitysupport@accesssystems.com
algonawa.gov,City,Non-Federal Agency,,Algona,WA,(blank)
algoodtn.gov,City,Non-Federal Agency,,Algood,TN,(blank)
alhambraca.gov,City,Non-Federal Agency,,Alhambra,CA,(blank)
aliquippapa.gov,City,Non-Federal Agency,,Aliquippa,PA,(blank)
alisoviejo.gov,City,Non-Federal Agency,,Aliso Viejo,CA,IAziz@AlisoViejo.gov
allegany.gov,City,Non-Federal Agency,,Allegany,NY,(blank)
allendalemi.gov,City,Non-Federal Agency,,Allendale,MI,(blank)
allendalenj.gov,City,Non-Federal Agency,,Allendale,NJ,jim@cobancomputers.com
allenstownnh.gov,City,Non-Federal Agency,,Allenstown,NH,townadmin@allenstownnh.gov
allentownpa.gov,City,Non-Federal Agency,,Allentown,PA,(blank)
allentx.gov,City,Non-Federal Agency,,Allen,TX,italerts@cityofallen.org
allianceoh.gov,City,Non-Federal Agency,,Alliance,OH,(blank)
almaarkansas.gov,City,Non-Federal Agency,,Alma,AR,administrator@cityofalma.org
almacenterwi.gov,City,Non-Federal Agency,,Alma Center,WI,almacenterwigov@computerguts.net
almenatownship.gov,City,Non-Federal Agency,,Paw Paw,MI,markroman2005@comcast.net
almiratownshipmi.gov,City,Non-Federal Agency,,Lake Ann,MI,(blank)
almontmichigan.gov,City,Non-Federal Agency,,Almont,MI,(blank)
alpharettaga.gov,City,Non-Federal Agency,,Alpharetta,GA,domainregistration@alpharetta.ga.us
alpinenj.gov,City,Non-Federal Agency,,Alpine,NJ,(blank)
alpinetwp.gov,City,Non-Federal Agency,,Comstock Park,MI,(blank)
alpineut.gov,City,Non-Federal Agency,,Alpine,UT,(blank)
alpinewy.gov,City,Non-Federal Agency,,Alpine,WY,alpine@silverstar.com
alsteadnh.gov,City,Non-Federal Agency,,Alstead,NH,servicedesk@charlandtech.com
altamontks.gov,City,Non-Federal Agency,,Altamont,KS,(blank)
altamontutah.gov,City,Non-Federal Agency,,Altamont,UT,(blank)
altavistava.gov,City,Non-Federal Agency,,Altavista,VA,tcshelton@altavistava.gov
altontownshipil.gov,City,Non-Federal Agency,,Alton,IL,(blank)
alton-tx.gov,City,Non-Federal Agency,,Alton,TX,(blank)
altoonapa.gov,City,Non-Federal Agency,,Altoona,PA,(blank)
altoona-wi.gov,City,Non-Federal Agency,,Altoona,WI,apdcommandstaff@altoona-wi.gov
altoonawi.gov,City,Non-Federal Agency,,Altoona,WI,(blank)
altusok.gov,City,Non-Federal Agency,,Altus,OK,(blank)
alvaok.gov,City,Non-Federal Agency,,Alva,OK,(blank)
alvin.gov,City,Non-Federal Agency,,Alvin,TX,it@alvin.gov
alvin-tx.gov,City,Non-Federal Agency,,Alvin,TX,InformationTechnology@cityofalvin.com
alvo.gov,City,Non-Federal Agency,,Eagle,NE,villageofalvo@outlook.com
alvordtx.gov,City,Non-Federal Agency,,Alvord,TX,cody@saltlogix.com
amadorcity.gov,City,Non-Federal Agency,,Amador City,CA,(blank)
amalgautah.gov,City,Non-Federal Agency,,AMALGA,UT,help@askalltech.com
amarillo.gov,City,Non-Federal Agency,,Amarillo,TX,jose.villarreal@amarillo.gov
ambertwpmi.gov,City,Non-Federal Agency,,Scottville,MI,(blank)
ameniany.gov,City,Non-Federal Agency,,Amenia,NY,(blank)
americancanyon.gov,City,Non-Federal Agency,,American Canyon,CA,rlecomte@dni.net
americanfork.gov,City,Non-Federal Agency,,American Fork,UT,george@americanfork.gov
americusga.gov,City,Non-Federal Agency,,Americus,GA,(blank)
amerywi.gov,City,Non-Federal Agency,,Amery,WI,dan@4thepoint.com
amesburyma.gov,City,Non-Federal Agency,,Amesbury,MA,it@amesburyma.gov
amherstma.gov,City,Non-Federal Agency,,Amherst,MA,hannons@amherstma.gov
amherstnh.gov,City,Non-Federal Agency,,Amherst,NH,jstover@amherstnh.gov
amherstva.gov,City,Non-Federal Agency,,Amherst,VA,townhall@amherstva.gov
amityoregon.gov,City,Non-Federal Agency,,Amity,OR,(blank)
amityvillepdny.gov,City,Non-Federal Agency,,Amityville,NY,amityvillepd@amityvillepd.com
amortownshipmn.gov,City,Non-Federal Agency,,Battle Lake,MN,(blank)
amsterdamnyfd.gov,City,Non-Federal Agency,,Amsterdam,NY,(blank)
amsterdamny.gov,City,Non-Federal Agency,,Amsterdam,NY,(blank)
amsterdamnypd.gov,City,Non-Federal Agency,,Amsterdam,NY,(blank)
anacorteswa.gov,City,Non-Federal Agency,,Anacortes,WA,(blank)
anaheim.gov,City,Non-Federal Agency,,Anaheim,CA,coainfosec@anaheim.net
anchorageak.gov,City,Non-Federal Agency,,Anchorage,AK,jon.rendulic@anchorageak.gov
ancramny.gov,City,Non-Federal Agency,,Ancram,NY,(blank)
andalusiaal.gov,City,Non-Federal Agency,,Andalusia,AL,it@cityofandlausia.com
andersontx.gov,City,Non-Federal Agency,,aNDERSON,TX,townoffice@andersontx.gov
andesnewyork.gov,City,Non-Federal Agency,,Andes,NY,(blank)
andoverks.gov,City,Non-Federal Agency,,Andover,KS,(blank)
andoverma.gov,City,Non-Federal Agency,,Andover,MA,platform.team@andoverma.us
andovermn.gov,City,Non-Federal Agency,,Andover,MN,webmaster@andovermn.gov
andover-nh.gov,City,Non-Federal Agency,,Andover,NH,(blank)
andrewsnc.gov,City,Non-Federal Agency,,Andrews,NC,abuse@andrewsnc.gov
angelfirenm.gov,City,Non-Federal Agency,,Angel Fire,NM,(blank)
angelscamp.gov,City,Non-Federal Agency,,City of Angels Camp,CA,swong@coneth.com
ankenyiowa.gov,City,Non-Federal Agency,,Ankeny,IA,(blank)
annapolis.gov,City,Non-Federal Agency,,Annapolis,MD,(blank)
annapolismd.gov,City,Non-Federal Agency,,Annapolis,MD,(blank)
annapolismo.gov,City,Non-Federal Agency,,Annapolis,MO,(blank)
annatexas.gov,City,Non-Federal Agency,,Anna,TX,(blank)
annettatx.gov,City,Non-Federal Agency,,Aledo,TX,citysecretary@annettatx.gov
annistonal.gov,City,Non-Federal Agency,,Anniston,AL,mbushard@annistonal.gov
anokawineandspirits.gov,City,Non-Federal Agency,,Anoka,MN,admin@vpointusa.com
ansoniahousing.gov,City,Non-Federal Agency,,Ansonia,CT,(blank)
ansonmaine.gov,City,Non-Federal Agency,,Anson,ME,toasupport@btsmaine.com
antiochcaboard.gov,City,Non-Federal Agency,,Antioch,CA,abarton@ci.antioch.ca.us
antiochcacommission.gov,City,Non-Federal Agency,,Antioch,CA,abarton@ci.antioch.ca.us
antiochcacommittee.gov,City,Non-Federal Agency,,Antioch,CA,abarton@ci.antioch.ca.us
antiochca.gov,City,Non-Federal Agency,,Antioch,CA,(blank)
antiochtownshipil.gov,City,Non-Federal Agency,,Antioch,IL,(blank)
antrimnh.gov,City,Non-Federal Agency,,Antrim,NH,support@miradorit.com
antrimnhpd.gov,City,Non-Federal Agency,,Antrim,NH,(blank)
apachejunctionaz.gov,City,Non-Federal Agency,,Apache Junction,AZ,dwirthgen@apachejunctionaz.gov
apexnc.gov,City,Non-Federal Agency,,Apex,NC,erika.sacco@apexnc.org
apopka.gov,City,Non-Federal Agency,,Apopka,FL,it_all@apopka.net
appletonmn.gov,City,Non-Federal Agency,,Appleton,MN,noc@coordinated.com
appletonwi.gov,City,Non-Federal Agency,,Appleton,WI,justin.marsh@appleton.org
applevalleyca.gov,City,Non-Federal Agency,,Apple Valley,CA,webmaster@applevalley.org
applevalleymn.gov,City,Non-Federal Agency,,Apple Valley,MN,ITdept@ci.apple-valley.mn.us
applevalleyut.gov,City,Non-Federal Agency,,Apple Valley,UT,clerk@applevalleyut.gov
appomattoxva.gov,City,Non-Federal Agency,,Appomattox,VA,(blank)
aptx.gov,City,Non-Federal Agency,,Aransas Pass,TX,doffalter@aransaspasstx.gov
aquinnah-ma.gov,City,Non-Federal Agency,,Aquinnah,MA,adminassistant@aquinnah-ma.gov
aragotownshipmn.gov,City,Non-Federal Agency,,Park Rapids,MN,(blank)
aransaspasstx.gov,City,Non-Federal Agency,,Aransas Pass,TX,jmartin@aptx.gov
arcadami.gov,City,Non-Federal Agency,,Ithaca,MI,kps@shumakergroup.com
arcadiaca.gov,City,Non-Federal Agency,,Arcadia,CA,wluo@arcadiaca.gov
arcadia-fl.gov,City,Non-Federal Agency,,Arcadia,FL,service@vc3.com
archbaldboroughpa.gov,City,Non-Federal Agency,,Archbald,PA,support@ironnebula.com
archdale-nc.gov,City,Non-Federal Agency,,Archdale,NC,_it@archdale-nc.gov
archerlodgenc.gov,City,Non-Federal Agency,,Archer Lodge,NC,(blank)
arcoidaho.gov,City,Non-Federal Agency,,Arco,ID,rtorrence@atccomm.com
arcolapdtx.gov,City,Non-Federal Agency,,Rosharon,TX,ArcolaPD@arcolapdtx.gov
arcolatexas.gov,City,Non-Federal Agency,,Arcola,TX,contractor1@arcolatexas.org
ardmoreok.gov,City,Non-Federal Agency,,Ardmore,OK,abuse@ardmorecity.org
ardsleyvillage.gov,City,Non-Federal Agency,,ARDSLEY,NY,(blank)
argentinetownship.gov,City,Non-Federal Agency,,Linden,MI,tech@tdaniels.com
argonnewi.gov,City,Non-Federal Agency,,argonne,WI,info@naunkca.com
argosin.gov,City,Non-Federal Agency,,Argos,IN,(blank)
argylewi.gov,City,Non-Federal Agency,,Argyle,WI,(blank)
arkadelphia.gov,City,Non-Federal Agency,,Arkadelphia,AR,(blank)
arkansascityks.gov,City,Non-Federal Agency,,Arkansas City,KS,security@arkansascityks.gov
arkomaok.gov,City,Non-Federal Agency,,Arkoma,OK,team@civicdynamics.us
arkwrightny.gov,City,Non-Federal Agency,,Fredonia,NY,(blank)
arlingtonma.gov,City,Non-Federal Agency,,Arlington,MA,security@town.arlington.ma.us
arlingtonmn.gov,City,Non-Federal Agency,,Arlington,MN,police@arlingtonmn.gov
arlingtonne.gov,City,Non-Federal Agency,,Arlington,NE,clerk@arlingtonne.gov
arlington-tx.gov,City,Non-Federal Agency,,Arlington,TX,itregistrar@arlingtontx.gov
arlingtontx.gov,City,Non-Federal Agency,,Arlington,TX,itregistrar@arlingtontx.gov
arlingtonwa.gov,City,Non-Federal Agency,,Arlington,WA,bterry@arlingtonwa.gov
armadatwp.gov,City,Non-Federal Agency,,Armada,MI,(blank)
arna.gov,City,Non-Federal Agency,,Markville,MN,(blank)
arpinvillagewi.gov,City,Non-Federal Agency,,Arpin,WI,(blank)
arrowsmithil.gov,City,Non-Federal Agency,,Arrowsmith,IL,arrowsmith.village@gmail.com
arroyopr.gov,City,Non-Federal Agency,,Arroyo,PR,(blank)
artesianm.gov,City,Non-Federal Agency,,Artesia,NM,gromine@artesianm.gov
arthur-il.gov,City,Non-Federal Agency,,Arthur,IL,(blank)
arvadaco.gov,City,Non-Federal Agency,,Arvada,CO,itsecurity@arvada.org
asburyparkfd.gov,City,Non-Federal Agency,,Asbury Park,NJ,(blank)
asburypark.gov,City,Non-Federal Agency,,ASBURY PARK,NJ,Joe.Dellaragione@asburypark.gov
asburyparkpd.gov,City,Non-Federal Agency,,Asbury Park,NJ,(blank)
ashburnham-ma.gov,City,Non-Federal Agency,,Ashburnham,MA,(blank)
ashbyma.gov,City,Non-Federal Agency,,Ashby,MA,tabos@ashbyma.gov
asheboronc.gov,City,Non-Federal Agency,,Asheboro,NC,netadmin@ci.asheboro.nc.us
ashevillenc.gov,City,Non-Federal Agency,,Asheville,NC,pscruggs@ashevillenc.gov
ashfordct.gov,City,Non-Federal Agency,,Ashford,CT,(blank)
ashfordny.gov,City,Non-Federal Agency,,West Valley,NY,(blank)
ashgrovemo.gov,City,Non-Federal Agency,,Ash Grove,MO,support@strongholddata.com
ashlandcitytn.gov,City,Non-Federal Agency,,Ashland City,TN,jwheeler@ashlandcitytn.gov
ashlandky.gov,City,Non-Federal Agency,,Ashland,KY,support@ashlandky.gov
ashlandnychemung.gov,City,Non-Federal Agency,,Wellsburg,NY,(blank)
ashlandoregon.gov,City,Non-Federal Agency,,Ashland,OR,(blank)
ashlandva.gov,City,Non-Federal Agency,,Ashland,VA,dougg@ashlandva.gov
ashmore.gov,City,Non-Federal Agency,,Ashmore,IL,clerk@ashmore.gov
ashtoncityid.gov,City,Non-Federal Agency,,Ashton,ID,david@funwinkstudios.com
ashtonid.gov,City,Non-Federal Agency,,Ashton,ID,david@funwinkstudios.com
ashvilleohio.gov,City,Non-Federal Agency,,Ashville,OH,agrube@ashvilleohio.gov
ashwaubenon.gov,City,Non-Federal Agency,,Ashwaubenon,WI,security@ashwaubenon.gov
aspen.gov,City,Non-Federal Agency,,Aspen,CO,dnsadmins@aspen.gov
aspinwallpa.gov,City,Non-Federal Agency,,Aspinwall,PA,aspinwallpa.com@gmail.com
assyriatwpmi.gov,City,Non-Federal Agency,,Bellevue,MI,InfoAssyriaTwp@gmail.com
astoria.gov,City,Non-Federal Agency,,Astorai,OR,(blank)
atchisonkspolice.gov,City,Non-Federal Agency,,Atchison,KS,mike.wilson@atchisonkspolice.gov
athelstanewiclerk.gov,City,Non-Federal Agency,,Athelstane,WI,athelstane@centurytel.net
athensil.gov,City,Non-Federal Agency,,Athens,IL,security@athensil.com
athenstn.gov,City,Non-Federal Agency,,Athens,TN,technologymanager@cityofathenstn.com
athenstownshipmn.gov,City,Non-Federal Agency,,Isanti,MN,(blank)
athenstx.gov,City,Non-Federal Agency,,Athens,TX,webregistrar@athenstx.gov
athensvillageny.gov,City,Non-Federal Agency,,Athens,NY,alerts@greenecomputer.org
athensvt.gov,City,Non-Federal Agency,,Athens,VT,its@athensvt.gov
athertonca.gov,City,Non-Federal Agency,,Atherton,CA,(blank)
athol-ma.gov,City,Non-Federal Agency,,Athol,MA,acraven@townofathol.org
atkinsar.gov,City,Non-Federal Agency,,Atkins,AR,(blank)
atkinson-nh.gov,City,Non-Federal Agency,,Atkinson,NH,assttownadmin@atkinson-nh.gov
atlantaga.gov,City,Non-Federal Agency,,Atlanta,GA,tmunyengango@atlantaga.gov
atlanticbeachny.gov,City,Non-Federal Agency,,Atlantic Beach,NY,(blank)
atlantisfl.gov,City,Non-Federal Agency,,Atlantis,FL,mlegall@atlantisfl.gov
atmore.gov,City,Non-Federal Agency,,Atmore,AL,support@hasserllc.com
atokatn.gov,City,Non-Federal Agency,,Atoka,TN,it@townofatoka.com
attica-in.gov,City,Non-Federal Agency,,Attica,IN,CLERK@ATTICA-IN.GOV
atwatermn.gov,City,Non-Federal Agency,,Atwater,MN,Goldie.Smith@AtwaterMN.gov
aubreytx.gov,City,Non-Federal Agency,,Aubrey,TX,(blank)
auburnal.gov,City,Non-Federal Agency,,,AL,webit@auburnalabama.org
auburnma.gov,City,Non-Federal Agency,,Auburn,MA,webmaster@town.auburn.ma.us
auburnmaine.gov,City,Non-Federal Agency,,Auburn,ME,jcunningham@auburnmaine.gov
auburnmi.gov,City,Non-Federal Agency,,Auburn,MI,kps@shumakergroup.com
auburnnh.gov,City,Non-Federal Agency,,Auburn,NH,(blank)
auburnny.gov,City,Non-Federal Agency,,Auburn,NY,(blank)
auburnwa.gov,City,Non-Federal Agency,,Auburn,WA,servicedesk@auburnwa.gov
audubonparkky.gov,City,Non-Federal Agency,,Louisville,KY,security@audubonparkky.gov
augustaga.gov,City,Non-Federal Agency,,Augusta,GA,ITSecurityTeam@augustaga.gov
augustaky.gov,City,Non-Federal Agency,,Augusta,KY,dpadgett@augustaky.com
augustamaine.gov,City,Non-Federal Agency,,Augusta,ME,mike.schriver@augustamaine.gov
aureliustown.gov,City,Non-Federal Agency,,Auburn,NY,(blank)
auroramo.gov,City,Non-Federal Agency,,Aurora,MO,(blank)
aurorane.gov,City,Non-Federal Agency,,Aurora,NE,(blank)
auroraoh.gov,City,Non-Federal Agency,,Aurora,OH,barnhousel@auroraoh.com
auroratexas.gov,City,Non-Federal Agency,,Rhome,TX,mayor@auroratexas.gov
ausabletwp-mi.gov,City,Non-Federal Agency,,AuSable,MI,(blank)
austellga.gov,City,Non-Federal Agency,,Austell,GA,cityhall@austellga.gov
austerlitzny.gov,City,Non-Federal Agency,,Spencertown,NY,(blank)
austin.gov,City,Non-Federal Agency,,Austin,TX,csirt@austintexas.gov
austintexas.gov,City,Non-Federal Agency,,Austin,TX,csirt@austintexas.gov
austintx.gov,City,Non-Federal Agency,,Austin,TX,csirt@austintexas.gov
avenalpd.gov,City,Non-Federal Agency,,Avenal,CA,(blank)
aventurafl.gov,City,Non-Federal Agency,,Aventura,FL,itinfo@cityofaventura.com
avocaarkansas.gov,City,Non-Federal Agency,,Avoca,AR,(blank)
avonct.gov,City,Non-Federal Agency,,Avon,CT,(blank)
avondaleaz.gov,City,Non-Federal Agency,,Avondale,AZ,(blank)
avondaleestatesga.gov,City,Non-Federal Agency,,Avondale Estates,GA,security@avondaleestates.org
avonindiana.gov,City,Non-Federal Agency,,Avon,IN,aginogino@avonindiana.gov
avon-ma.gov,City,Non-Federal Agency,,Avon,MA,(blank)
avon-ny.gov,City,Non-Federal Agency,,Avon,NY,(blank)
avontownshipmn.gov,City,Non-Federal Agency,,Avon,MN,(blank)
ayerfire.gov,City,Non-Federal Agency,,Ayer,MA,(blank)
ayerpolice.gov,City,Non-Federal Agency,,Ayer,MA,(blank)
az-fhsd.gov,City,Non-Federal Agency,,Fountain Hills,AZ,fhsd@az-fhsd.gov
aztecnm.gov,City,Non-Federal Agency,,Aztec,NM,admin@aztecnm.gov
azusaca.gov,City,Non-Federal Agency,,Azusa,CA,(blank)
backusmi.gov,City,Non-Federal Agency,,SAINT HELEN,MI,(blank)
badenpa.gov,City,Non-Federal Agency,,Baden,PA,(blank)
bagleytownshipmi.gov,City,Non-Federal Agency,,Gaylord,MI,kps@shumakergroup.com
baileysharborwi.gov,City,Non-Federal Agency,,BAILEYS HARBOR,WI,admin@baileysharborwi.org
bainbridgewa.gov,City,Non-Federal Agency,,Bainbridge Island,WA,mdalton@bainbridgewa.gov
bakercity.gov,City,Non-Federal Agency,,Baker City,OR,(blank)
bakercitypd.gov,City,Non-Federal Agency,,Baker City,OR,marlin@ms-tech-consulting.com
bakersfield.gov,City,Non-Federal Agency,,Bakersfield,CA,(blank)
balchspringstx.gov,City,Non-Federal Agency,,Balch Springs,TX,bservice@baxterit.com
baldknobar.gov,City,Non-Federal Agency,,Bald Knob,AR,(blank)
baldwincity.gov,City,Non-Federal Agency,,Baldwin City,KS,HELPDESK@BALDWINCITY.ORG
baldwinparkca.gov,City,Non-Federal Agency,,Baldwin Park,CA,itsupport@baldwinpark.com
baldwinsville.gov,City,Non-Federal Agency,,Baldwinsville,NY,(blank)
baldwintwpiosco.gov,City,Non-Federal Agency,,TAWAS CITY,MI,(blank)
balharbourfl.gov,City,Non-Federal Agency,,Bal Harbour,FL,lansight@balharbourfl.gov
balkantownshipmn.gov,City,Non-Federal Agency,,Chisholm,MN,(blank)
ballardcityut.gov,City,Non-Federal Agency,,Ballard,UT,(blank)
ballstonspa.gov,City,Non-Federal Agency,,Ballston Spa,NY,(blank)
baltimorecitybnmd.gov,City,Non-Federal Agency,,Baltimore,MD,BobTaylor@baltimorecity.gov
baltimorecitycouncil.gov,City,Non-Federal Agency,,Baltimore,MD,BobTaylor@baltimorecity.gov
baltimorecity.gov,City,Non-Federal Agency,,Baltimore,MD,bob.taylor@baltimorecity.gov
baltimorecitysheriff.gov,City,Non-Federal Agency,,Baltimore,MD,(blank)
banderatx.gov,City,Non-Federal Agency,,Bandera,TX,nancy.defoster@BanderaTX.gov
bangormaine.gov,City,Non-Federal Agency,,Bangor,ME,(blank)
bankstownshipmi.gov,City,Non-Federal Agency,,Ellsworth,MI,(blank)
banningca.gov,City,Non-Federal Agency,,Banning,CA,support@banningca.gov
baraboowi.gov,City,Non-Federal Agency,,Baraboo,WI,saukmis@cityofbaraboo.com
bardstownky.gov,City,Non-Federal Agency,,Bardstown,KY,noc@bardstowncable.net
barharbormaine.gov,City,Non-Federal Agency,,Bar Harbor,ME,(blank)
baringplantation.gov,City,Non-Federal Agency,,Baring PLT,ME,(blank)
barlingar.gov,City,Non-Federal Agency,,Barling,AR,mgriffin@barlingar.com
barnesvillega.gov,City,Non-Federal Agency,,Barnesville,GA,(blank)
barnesvilleohio.gov,City,Non-Federal Agency,,Barnesville,OH,webmaster@barnesvilleohio.com
barneveldwi.gov,City,Non-Federal Agency,,Barneveld,WI,(blank)
barnsdallpdok.gov,City,Non-Federal Agency,,Barnsdall,OK,(blank)
barnstable.gov,City,Non-Federal Agency,,Hyannis,MA,(blank)
barnstablepolice.gov,City,Non-Federal Agency,,Hyannis,MA,(blank)
barnunnwy.gov,City,Non-Federal Agency,,Bar Nunn,WY,peterboyer@townofbarnunn.com
barringtonhills-il.gov,City,Non-Federal Agency,,Barrington Hills,IL,(blank)
barrington-il.gov,City,Non-Federal Agency,,Barrington,IL,jmcginn@barrington-il.gov
barringtontwpil.gov,City,Non-Federal Agency,,Barrington,IL,info@barringtontwpil.gov
barrytownshipmn.gov,City,Non-Federal Agency,,Hinckley,MN,barrytwpclerk@gmail.com
bartlettil.gov,City,Non-Federal Agency,,Bartlett,IL,bartlett@bartlettil.gov
bartlettnhpolice.gov,City,Non-Federal Agency,,Intervale,NH,p.murphy@townofbartlettnh.org
basslakewi.gov,City,Non-Federal Agency,,Hayward,WI,tammy@basslakewi.gov
bataviail.gov,City,Non-Federal Agency,,Batavia,IL,exchgrp_ismonitor@cityofbatavia.net
bataviaoh.gov,City,Non-Federal Agency,,Batavia,OH,info@bataviavillage.org
batesvillearkansas.gov,City,Non-Federal Agency,,Batesville,AR,it@batesvillearkansas.gov
batesvillepolicear.gov,City,Non-Federal Agency,,Batesville,AR,(blank)
batonrougela.gov,City,Non-Federal Agency,,Baton Rouge,LA,(blank)
battlecreekmi.gov,City,Non-Federal Agency,,Battle Creek,MI,security@battlecreekmi.gov
battlefieldmo.gov,City,Non-Federal Agency,,Battlefield,MO,(blank)
baxleyga.gov,City,Non-Federal Agency,,Baxley,GA,amcneal@baxleyga.gov
